Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),40000,2,190,2020,3460000,оранжевый,автомат,полный,Дизель,Санкт-Петербург
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),80000,3,286,2019,3350000,синий,автомат,задний,Дизель,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),114000,3,249,2017,3960000,синий,автомат,полный,Дизель,Челябинск
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),42000,2,190,2021,4500000,белый,автомат,полный,Дизель,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),38000,3,249,2018,5500000,белый,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),133000,2,190,2018,2960000,синий,автомат,полный,Дизель,Екатеринбург
BMW 3 серии 318i VII (G2x),BMW,3 серии 318i VII (G2x),53000,2,156,2021,4100000,чёрный,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",71000,2,245,2016,3300000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),44000,3,387,2020,3910000,белый,автомат,полный,Бензин,Химки
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",42000,2,245,2018,5500000,серебристый,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),142000,2,190,2018,2730000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),133000,2,190,2018,2960000,синий,автомат,полный,Дизель,Екатеринбург
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),17000,2,184,2021,4300000,синий,автомат,задний,Бензин,Саратов
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),53000,2,245,2020,5760000,чёрный,робот,передний,Бензин,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),80000,2,190,2018,3300000,белый,автомат,полный,Дизель,Сочи
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),45000,2,245,2021,4030000,синий,робот,передний,Бензин,Санкт-Петербург
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),41000,3,320,2020,7330000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),218000,3,320,2018,2460000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),50000,2,190,2019,3640000,белый,автомат,полный,Дизель,Москва
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),65000,2,190,2019,4040000,серый,робот,передний,Дизель,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",226000,"3,5",333,2018,2770000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),111000,3,249,2020,4750000,чёрный,автомат,полный,Дизель,Казань
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),94000,2,184,2019,2920000,серый,автомат,задний,Бензин,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),9000,2,184,2019,4900000,синий,автомат,задний,Бензин,Ростов-на-Дону
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",79000,3,258,2018,2800000,белый,автомат,полный,Дизель,Москва
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),95000,3,340,2018,3680000,белый,робот,полный,Бензин,Екатеринбург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),62000,2,249,2019,5860000,чёрный,автомат,полный,Бензин,Пятигорск
Audi A4 V (B9),Audi,A4 V (B9),77000,2,190,2019,2700000,синий,механика,передний,Бензин,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),87000,2,245,2018,3950000,белый,робот,полный,Бензин,Витебск
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),69000,3,265,2019,3050000,чёрный,автомат,задний,Дизель,Минск
Audi A4 V (B9),Audi,A4 V (B9),101000,2,190,2016,2120000,серый,механика,полный,Дизель,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),64000,2,122,2019,3250000,синий,робот,передний,Дизель,Липецк
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),59000,2,245,2019,4250000,белый,робот,полный,Бензин,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),53000,2,190,2019,4790000,чёрный,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс 250 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 250 V (W213, S213, C238)",28000,2,211,2019,7580000,чёрный,автомат,задний,Бензин,Москва
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),82000,2,184,2019,3600000,чёрный,автомат,задний,Бензин,Москва
Mercedes-Benz S-Класс 350d 4MATIC VII (W223),Mercedes-Benz,S-Класс 350d 4MATIC VII (W223),26000,"2,9",286,2021,12930000,серый,автомат,полный,Дизель,Казань
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),95000,3,249,2018,3960000,белый,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),86000,2,252,2017,3290000,чёрный,автомат,задний,Бензин,Екатеринбург
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),96000,2,252,2018,2630000,белый,автомат,задний,Бензин,Могилёв
Audi A4 V (B9),Audi,A4 V (B9),96000,2,190,2019,2980000,чёрный,робот,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",109000,2,184,2018,2610000,чёрный,автомат,задний,Бензин,Ставрополь
Audi A6 35 TDI V (C8),Audi,A6 35 TDI V (C8),123000,2,163,2019,3550000,чёрный,робот,передний,Дизель,Ставрополь
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),36000,2,190,2020,4000000,чёрный,автомат,полный,Дизель,Омск
BMW 3 серии 330i VII (G2x),BMW,3 серии 330i VII (G2x),59000,2,258,2018,3640000,синий,автомат,задний,Бензин,Тверь
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",118000,2,194,2018,2990000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),125000,3,249,2017,3650000,серый,автомат,полный,Дизель,Москва
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),65000,2,249,2018,3690000,синий,автомат,полный,Бензин,Екатеринбург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),110000,2,252,2019,3200000,серый,автомат,полный,Бензин,Минск
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),168000,2,252,2017,2500000,белый,автомат,задний,Бензин,Москва
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),40000,2,150,2019,3550000,белый,механика,передний,Дизель,Аксай
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),99000,"4,4",462,2019,3540000,белый,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",141000,2,258,2016,2180000,чёрный,автомат,задний,Бензин,Йошкар-Ола
BMW 5 серии 518d VII (G30/G31),BMW,5 серии 518d VII (G30/G31),145000,2,150,2017,2680000,чёрный,автомат,задний,Дизель,Краснодар
BMW 3 серии 320e VII (G2x),BMW,3 серии 320e VII (G2x),75000,2,204,2019,3940000,белый,автомат,задний,Гибрид,Екатеринбург
BMW 3 серии 330e xDrive VII (G2x),BMW,3 серии 330e xDrive VII (G2x),31000,2,292,2020,3190000,белый,автомат,полный,Гибрид,Минск
"Mercedes-Benz E-Класс 200 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 d V (W213, S213, C238)",19000,2,150,2019,3520000,чёрный,автомат,задний,Дизель,Екатеринбург
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),65000,3,340,2019,4340000,серебристый,робот,полный,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",147000,2,184,2017,2390000,чёрный,автомат,полный,Бензин,Уфа
"Mercedes-Benz E-Класс All-Terrain 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 220 d V (W213, S213, C238)",46000,2,194,2017,4550000,чёрный,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",41000,2,197,2020,3650000,белый,автомат,задний,Бензин,Московский
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),78000,3,387,2020,5590000,чёрный,автомат,полный,Бензин,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),80000,2,184,2020,2890000,синий,автомат,задний,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),79000,3,249,2019,3090000,белый,автомат,полный,Дизель,Минск
Mercedes-Benz S-Класс 580 e Long VII (W223),Mercedes-Benz,S-Класс 580 e Long VII (W223),1000,3,510,2023,22010000,чёрный,автомат,задний,Гибрид,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",113000,"1,5",184,2016,2800000,чёрный,автомат,задний,Бензин,Новосибирск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",68000,2,197,2019,3850000,синий,автомат,полный,Бензин,Новосибирск
Mercedes-Benz S-Класс 400d 4MATIC VII (W223),Mercedes-Benz,S-Класс 400d 4MATIC VII (W223),3000,"2,9",330,2021,18080000,серый,автомат,полный,Дизель,Новосибирск
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),137000,2,249,2017,2990000,серый,автомат,полный,Бензин,Минск
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),110000,2,252,2019,3200000,серый,автомат,полный,Бензин,Минск
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),56000,2,252,2020,3930000,белый,автомат,задний,Бензин,Москва
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),29000,"2,9",249,2021,18080000,чёрный,автомат,полный,Дизель,Адлер
BMW 3 серии 330i xDrive VII (G2x),BMW,3 серии 330i xDrive VII (G2x),80000,2,258,2019,2950000,синий,автомат,полный,Бензин,Белгород
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),79000,3,231,2019,4440000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),127000,2,190,2018,2890000,коричневый,автомат,полный,Дизель,Черкесск
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",67000,"3,5",333,2016,3600000,белый,автомат,полный,Бензин,Ижевск
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),31000,"2,9",249,2021,15150000,серый,автомат,полный,Дизель,Казань
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",5000,2,197,2020,5000000,чёрный,автомат,полный,Бензин,Воронеж
"Mercedes-Benz E-Класс All-Terrain 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 220 d V (W213, S213, C238)",137000,2,194,2018,3700000,серебристый,автомат,полный,Дизель,Тула
"Mercedes-Benz E-Класс 450 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 450 V (W213, S213, C238)",34000,3,367,2019,5960000,серебристый,автомат,полный,Бензин,Симферополь
Audi A6 50 TFSI e V (C8),Audi,A6 50 TFSI e V (C8),56000,2,299,2019,4900000,чёрный,робот,полный,Гибрид,Воронеж
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),29000,3,245,2018,4700000,серый,робот,полный,Дизель,Воронеж
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),1000,3,367,2022,19500000,чёрный,автомат,полный,Бензин,Москва
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),35000,2,204,2019,4150000,чёрный,робот,передний,Дизель,Воронеж
Mercedes-Benz S-Класс 580 e 4MATIC VII (W223),Mercedes-Benz,S-Класс 580 e 4MATIC VII (W223),9000,3,510,2021,15150000,чёрный,автомат,полный,Гибрид,Москва
Audi A6 55 TFSI e V (C8),Audi,A6 55 TFSI e V (C8),129000,2,367,2019,3590000,серый,робот,полный,Гибрид,Владимир
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),72000,3,374,2019,4200000,серый,автомат,полный,Бензин,Ставрополь
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",100000,2,184,2018,3150000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),125000,3,249,2017,3950000,серый,автомат,полный,Дизель,Севастополь
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),145000,3,265,2020,2320000,серый,автомат,задний,Дизель,Шахты
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),50000,3,249,2020,5360000,синий,автомат,полный,Дизель,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),1000,3,249,2022,10000000,серый,автомат,полный,Дизель,Иркутск
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),35000,2,204,2019,4150000,чёрный,робот,передний,Дизель,Воронеж
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),43000,2,190,2019,4100000,белый,автомат,полный,Дизель,Москва
BMW 3 серии 330i VII (G2x),BMW,3 серии 330i VII (G2x),39000,2,258,2019,2700000,чёрный,автомат,задний,Бензин,Казань
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),64000,2,204,2019,4500000,белый,робот,полный,Дизель,Москва
"Mercedes-Benz E-Класс All-Terrain 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 220 d V (W213, S213, C238)",90000,2,194,2020,5550000,серый,автомат,полный,Дизель,Брянск
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),110000,2,190,2019,3310000,синий,автомат,задний,Дизель,Минск
BMW 3 серии 320i xDrive VII (G2x),BMW,3 серии 320i xDrive VII (G2x),54000,2,184,2019,4490000,чёрный,автомат,полный,Бензин,Минск
BMW 5 серии 530d VII (G30/G31),BMW,5 серии 530d VII (G30/G31),59000,3,265,2019,3390000,белый,автомат,задний,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),31000,2,249,2019,2660000,белый,робот,полный,Бензин,Красноярск
BMW 5 серии 525d VII (G30/G31),BMW,5 серии 525d VII (G30/G31),118000,2,231,2017,2880000,коричневый,автомат,задний,Дизель,Ростов-на-Дону
BMW 5 серии 518d VII (G30/G31),BMW,5 серии 518d VII (G30/G31),146000,2,150,2017,3020000,серый,автомат,задний,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 d V (W213, S213, C238)",147000,"1,6",160,2018,2500000,серый,автомат,задний,Дизель,Минск
Audi A4 V (B9),Audi,A4 V (B9),99000,"1,4",150,2017,1920000,чёрный,робот,передний,Бензин,Казань
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),35000,2,190,2020,4250000,синий,автомат,полный,Дизель,Москва
BMW 5 серии 530d VII (G30/G31),BMW,5 серии 530d VII (G30/G31),100000,3,265,2018,3330000,белый,автомат,задний,Дизель,Санкт-Петербург
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),40000,2,184,2019,3390000,белый,автомат,задний,Бензин,Брест
Mercedes-Benz S-Класс 500 4MATIC VII (W223),Mercedes-Benz,S-Класс 500 4MATIC VII (W223),6000,3,449,2021,15660000,чёрный,автомат,полный,Бензин,Москва
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),1000,3,435,2022,22000000,чёрный,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),102000,2,190,2017,2370000,чёрный,механика,полный,Дизель,Санкт-Петербург
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),53000,2,265,2019,3640000,синий,робот,передний,Бензин,Воронеж
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),1000,3,381,2022,25600000,чёрный,автомат,полный,Бензин,Пермь
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),108000,3,231,2019,3450000,чёрный,автомат,полный,Дизель,Москва
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),1000,3,449,2022,22730000,чёрный,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",156000,"1,5",184,2017,2660000,чёрный,автомат,задний,Бензин,Москва
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),39000,2,184,2019,3800000,серый,автомат,задний,Бензин,Пятигорск
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),52000,2,252,2018,3580000,серебристый,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),148000,2,249,2015,1780000,красный,робот,полный,Бензин,Казань
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),84000,2,190,2017,2560000,чёрный,механика,задний,Дизель,Воронеж
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),1000,3,449,2022,22900000,чёрный,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 450 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 450 V (W213, S213, C238)",49000,3,367,2018,3720000,синий,автомат,полный,Бензин,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),111000,2,190,2017,2400000,чёрный,автомат,задний,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),111000,2,190,2018,2110000,серебристый,механика,передний,Бензин,Минск
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),141000,3,245,2019,4000000,чёрный,робот,полный,Дизель,Москва
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",61000,"2,9",286,2018,4400000,серый,автомат,задний,Дизель,Санкт-Петербург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),90000,2,249,2017,4100000,синий,автомат,полный,Бензин,Ейск
BMW 5 серии 518d VII (G30/G31),BMW,5 серии 518d VII (G30/G31),73000,2,150,2018,2330000,белый,автомат,задний,Дизель,Могилёв
BMW 3 серии 330i VII (G2x),BMW,3 серии 330i VII (G2x),145000,2,258,2019,2800000,серый,автомат,задний,Бензин,Минск
Audi A4 V (B9),Audi,A4 V (B9),93000,"1,4",150,2018,1680000,белый,механика,передний,Бензин,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),132000,2,245,2019,3950000,серый,робот,передний,Бензин,Самара
Mercedes-Benz S-Класс 680 Long 4MATIC Guard VII (W223),Mercedes-Benz,S-Класс 680 Long 4MATIC Guard VII (W223),1000,6,612,2022,22900000,чёрный,автомат,полный,Бензин,Москва
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),1000,3,435,2022,18000000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),155000,2,252,2019,3590000,белый,автомат,полный,Бензин,Москва
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),1000,3,449,2022,22900000,чёрный,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",115000,3,258,2019,3590000,чёрный,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",31000,2,197,2020,3850000,чёрный,автомат,задний,Бензин,Самара
Audi A4 V (B9),Audi,A4 V (B9),55000,2,122,2018,2230000,серебристый,робот,передний,Дизель,Минск
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",57000,3,333,2017,4010000,синий,автомат,полный,Бензин,Зеленоград
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),53000,2,204,2019,4340000,серый,робот,передний,Дизель,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",136000,2,245,2017,2770000,чёрный,автомат,задний,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),34000,2,190,2019,2430000,чёрный,робот,передний,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",84000,"2,9",340,2018,3460000,серый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",66000,3,333,2017,3790000,чёрный,автомат,полный,Бензин,Санкт-Петербург
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),51000,3,340,2018,4700000,чёрный,робот,полный,Бензин,Санкт-Петербург
Audi A6 55 TFSI e V (C8),Audi,A6 55 TFSI e V (C8),85000,2,367,2019,3790000,чёрный,робот,полный,Гибрид,Москва
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),1000,2,204,2022,6850000,чёрный,робот,полный,Дизель,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),28000,2,184,2019,3140000,белый,автомат,задний,Бензин,Москва
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),140000,2,190,2020,3490000,чёрный,механика,задний,Дизель,Минск
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),63000,2,184,2019,3440000,чёрный,автомат,задний,Бензин,Краснодар
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),112000,2,245,2020,3990000,чёрный,робот,полный,Бензин,Новосибирск
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),63000,2,190,2021,4550000,чёрный,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",88000,"1,5",184,2018,3840000,белый,автомат,задний,Бензин,Минеральные Воды
Audi A4 V (B9),Audi,A4 V (B9),106000,"1,4",150,2017,2020000,чёрный,робот,передний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),91000,2,252,2018,3000000,серый,робот,полный,Бензин,Химки
Audi A4 V (B9),Audi,A4 V (B9),139000,2,252,2017,2020000,чёрный,робот,полный,Бензин,Краснодар
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",69000,"2,9",340,2016,2930000,чёрный,автомат,полный,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),139000,2,252,2017,2020000,чёрный,робот,полный,Бензин,Краснодар
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),47000,2,150,2018,1990000,белый,робот,передний,Дизель,Красноярск
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),9000,3,340,2020,4640000,синий,робот,полный,Бензин,Минск
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),115000,2,190,2019,3000000,серый,автомат,задний,Дизель,Минск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),104000,2,163,2019,3000000,серый,автомат,задний,Дизель,Псков
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",50000,2,194,2017,3480000,чёрный,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",51000,"3,5",333,2019,3530000,чёрный,автомат,полный,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 300 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 d V (W213, S213, C238)",204000,2,245,2018,2230000,чёрный,автомат,задний,Дизель,Казань
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),104000,2,150,2018,2010000,белый,робот,передний,Дизель,Борисоглебск
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",73000,2,194,2016,2880000,чёрный,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",111000,"1,5",184,2017,2600000,чёрный,автомат,задний,Бензин,Москва
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),44000,2,252,2017,4550000,серый,автомат,полный,Бензин,Москва
Audi A6 55 TFSI e V (C8),Audi,A6 55 TFSI e V (C8),35000,2,367,2020,3410000,чёрный,робот,полный,Гибрид,Новосибирск
BMW 5 серии 525d VII (G30/G31),BMW,5 серии 525d VII (G30/G31),83000,2,231,2018,3440000,белый,автомат,задний,Дизель,Москва
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),36000,3,387,2020,5140000,серый,автомат,полный,Бензин,Минск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),88000,2,190,2019,3900000,белый,механика,задний,Дизель,Владимир
