Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Audi A4 V (B9),Audi,A4 V (B9),106000,2,190,2017,2550000,белый,робот,полный,Дизель,Батайск
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),99000,2,190,2019,2550000,белый,автомат,полный,Дизель,Пушкино
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),92000,2,249,2018,3400000,белый,автомат,полный,Бензин,Казань
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",51000,3,333,2017,3250000,серый,автомат,полный,Бензин,Тверь
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",150000,2,194,2017,2160000,чёрный,автомат,полный,Дизель,Минск
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),47000,2,190,2019,3200000,синий,механика,задний,Дизель,Ачинск
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),33000,2,190,2019,3950000,серый,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",108000,2,184,2016,2880000,красный,автомат,задний,Бензин,Богослово
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),95000,2,184,2018,2780000,белый,автомат,задний,Бензин,Мамоны
BMW 5 серии 525d VII (G30/G31),BMW,5 серии 525d VII (G30/G31),221000,2,231,2018,2110000,синий,автомат,задний,Дизель,Минск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",7000,2,184,2019,4700000,белый,механика,задний,Бензин,Реутов
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",118000,2,184,2016,3220000,серый,автомат,задний,Бензин,Краснодар
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),30000,2,190,2020,3500000,белый,механика,задний,Дизель,Минск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",293000,2,184,2017,2000000,чёрный,механика,задний,Бензин,Астрахань
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),49000,3,249,2018,3500000,синий,автомат,полный,Дизель,Брест
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),42000,2,249,2020,4280000,серый,автомат,задний,Бензин,Псков
Audi A4 V (B9),Audi,A4 V (B9),134000,2,150,2016,2230000,белый,робот,передний,Дизель,Казань
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",81000,2,258,2017,3100000,белый,автомат,задний,Бензин,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),68000,3,249,2019,4540000,серый,автомат,полный,Дизель,Краснодар
Audi A4 V (B9),Audi,A4 V (B9),201000,3,272,2018,1800000,чёрный,автомат,полный,Дизель,Гродно
Audi A4 V (B9),Audi,A4 V (B9),94000,3,218,2016,2700000,белый,робот,полный,Дизель,Набережные Челны
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",140000,2,197,2020,3320000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),240000,2,249,2017,2400000,чёрный,автомат,полный,Бензин,Минск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",202000,2,197,2019,2430000,чёрный,автомат,задний,Бензин,Балашиха
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",95000,3,333,2018,3740000,белый,автомат,полный,Бензин,Санкт-Петербург
